[2026-04-04 11:47:38] Unknown Attack (Anomaly) | 192.168.1.219 → 10.0.0.27 | conf=0.6 | Isolation Forest (override)
[2026-04-04 12:19:19] Unknown Anomaly | 192.168.1.63 → 10.0.0.10 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:20] Unknown Anomaly | 192.168.1.5 → 10.0.0.28 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:39] Unknown Anomaly | 192.168.1.147 → 10.0.0.7 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:40] Unknown Anomaly | 192.168.1.161 → 10.0.0.27 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:41] Unknown Anomaly | 192.168.1.249 → 10.0.0.32 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:42] Unknown Anomaly | 192.168.1.210 → 10.0.0.8 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:43] Unknown Anomaly | 192.168.1.7 → 10.0.0.44 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:44] Unknown Anomaly | 192.168.1.31 → 10.0.0.19 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:46] Unknown Anomaly | 192.168.1.205 → 10.0.0.12 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:47] Unknown Anomaly | 192.168.1.226 → 10.0.0.16 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:48] Unknown Anomaly | 192.168.1.164 → 10.0.0.50 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:48] Unknown Anomaly | 192.168.1.168 → 10.0.0.48 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:49] Unknown Anomaly | 192.168.1.192 → 10.0.0.29 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:50] Unknown Anomaly | 192.168.1.6 → 10.0.0.1 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:51] Unknown Anomaly | 192.168.1.148 → 10.0.0.9 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:52] Unknown Anomaly | 192.168.1.10 → 10.0.0.31 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:53] Unknown Anomaly | 192.168.1.137 → 10.0.0.23 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:54] Unknown Anomaly | 192.168.1.59 → 10.0.0.34 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:55] Unknown Anomaly | 192.168.1.78 → 10.0.0.26 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:56] Unknown Anomaly | 192.168.1.68 → 10.0.0.11 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:58] Unknown Anomaly | 192.168.1.161 → 10.0.0.46 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:59] Unknown Anomaly | 192.168.1.145 → 10.0.0.33 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:20:59] Unknown Anomaly | 192.168.1.179 → 10.0.0.5 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:00] Unknown Anomaly | 192.168.1.166 → 10.0.0.13 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:02] Unknown Anomaly | 192.168.1.62 → 10.0.0.4 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:02] Unknown Anomaly | 192.168.1.67 → 10.0.0.12 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:03] Unknown Anomaly | 192.168.1.183 → 10.0.0.38 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:05] Unknown Anomaly | 192.168.1.10 → 10.0.0.12 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:06] Unknown Anomaly | 192.168.1.14 → 10.0.0.43 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:07] Unknown Anomaly | 192.168.1.250 → 10.0.0.8 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:08] Unknown Anomaly | 192.168.1.41 → 10.0.0.36 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:09] Unknown Anomaly | 192.168.1.64 → 10.0.0.20 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:10] Unknown Anomaly | 192.168.1.128 → 10.0.0.14 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:11] Unknown Anomaly | 192.168.1.69 → 10.0.0.21 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:12] Unknown Anomaly | 192.168.1.27 → 10.0.0.27 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:12] Unknown Anomaly | 192.168.1.66 → 10.0.0.38 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:13] Unknown Anomaly | 192.168.1.65 → 10.0.0.9 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:15] Unknown Anomaly | 192.168.1.42 → 10.0.0.48 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:15] Unknown Anomaly | 192.168.1.180 → 10.0.0.27 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:16] Unknown Anomaly | 192.168.1.170 → 10.0.0.27 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:17] Unknown Anomaly | 192.168.1.12 → 10.0.0.8 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:18] Unknown Anomaly | 192.168.1.218 → 10.0.0.6 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:19] Unknown Anomaly | 192.168.1.132 → 10.0.0.32 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:19] Unknown Anomaly | 192.168.1.246 → 10.0.0.13 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:20] Unknown Anomaly | 192.168.1.104 → 10.0.0.4 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:21] Unknown Anomaly | 192.168.1.207 → 10.0.0.37 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:22] Unknown Anomaly | 192.168.1.57 → 10.0.0.25 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:23] Unknown Anomaly | 192.168.1.172 → 10.0.0.39 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:23] Unknown Anomaly | 192.168.1.78 → 10.0.0.29 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:24] Unknown Anomaly | 192.168.1.80 → 10.0.0.23 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:25] Unknown Anomaly | 192.168.1.212 → 10.0.0.48 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:26] Unknown Anomaly | 192.168.1.101 → 10.0.0.8 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:27] Unknown Anomaly | 192.168.1.57 → 10.0.0.18 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:28] Unknown Anomaly | 192.168.1.99 → 10.0.0.5 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:28] Unknown Anomaly | 192.168.1.193 → 10.0.0.32 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:29] Unknown Anomaly | 192.168.1.226 → 10.0.0.11 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:30] Unknown Anomaly | 192.168.1.13 → 10.0.0.18 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:31] Unknown Anomaly | 192.168.1.169 → 10.0.0.37 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:32] Unknown Anomaly | 192.168.1.162 → 10.0.0.48 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:33] Unknown Anomaly | 192.168.1.197 → 10.0.0.44 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:33] Unknown Anomaly | 192.168.1.111 → 10.0.0.15 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:35] Unknown Anomaly | 192.168.1.98 → 10.0.0.23 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:35] Unknown Anomaly | 192.168.1.138 → 10.0.0.6 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:36] Unknown Anomaly | 192.168.1.250 → 10.0.0.26 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:37] Unknown Anomaly | 192.168.1.213 → 10.0.0.34 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:37] Unknown Anomaly | 192.168.1.103 → 10.0.0.40 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:38] Unknown Anomaly | 192.168.1.6 → 10.0.0.33 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:39] Unknown Anomaly | 192.168.1.30 → 10.0.0.14 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:40] Unknown Anomaly | 192.168.1.83 → 10.0.0.15 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:42] Unknown Anomaly | 192.168.1.95 → 10.0.0.5 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:43] Unknown Anomaly | 192.168.1.145 → 10.0.0.42 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:44] Unknown Anomaly | 192.168.1.242 → 10.0.0.27 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:45] Unknown Anomaly | 192.168.1.120 → 10.0.0.39 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:46] Unknown Anomaly | 192.168.1.225 → 10.0.0.18 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:47] Unknown Anomaly | 192.168.1.3 → 10.0.0.18 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:48] Unknown Anomaly | 192.168.1.42 → 10.0.0.5 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:48] Unknown Anomaly | 192.168.1.7 → 10.0.0.27 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:49] Unknown Anomaly | 192.168.1.208 → 10.0.0.50 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:50] Unknown Anomaly | 192.168.1.24 → 10.0.0.39 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:51] Unknown Anomaly | 192.168.1.128 → 10.0.0.7 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:52] Unknown Anomaly | 192.168.1.196 → 10.0.0.9 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:54] Unknown Anomaly | 192.168.1.157 → 10.0.0.15 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:54] Unknown Anomaly | 192.168.1.212 → 10.0.0.27 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:55] Unknown Anomaly | 192.168.1.152 → 10.0.0.31 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:56] Unknown Anomaly | 192.168.1.241 → 10.0.0.25 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:57] Unknown Anomaly | 192.168.1.18 → 10.0.0.19 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:58] Unknown Anomaly | 192.168.1.50 → 10.0.0.38 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:59] Unknown Anomaly | 192.168.1.128 → 10.0.0.17 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:21:59] Unknown Anomaly | 192.168.1.249 → 10.0.0.18 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:00] Unknown Anomaly | 192.168.1.220 → 10.0.0.14 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:01] Unknown Anomaly | 192.168.1.155 → 10.0.0.5 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:02] Unknown Anomaly | 192.168.1.216 → 10.0.0.13 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:03] Unknown Anomaly | 192.168.1.244 → 10.0.0.12 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:04] Unknown Anomaly | 192.168.1.193 → 10.0.0.25 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:06] Unknown Anomaly | 192.168.1.42 → 10.0.0.16 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:07] Unknown Anomaly | 192.168.1.248 → 10.0.0.13 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:07] Unknown Anomaly | 192.168.1.115 → 10.0.0.3 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:08] Unknown Anomaly | 192.168.1.175 → 10.0.0.46 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:09] Unknown Anomaly | 192.168.1.11 → 10.0.0.33 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:10] Unknown Anomaly | 192.168.1.242 → 10.0.0.43 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:10] Unknown Anomaly | 192.168.1.124 → 10.0.0.15 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:11] Unknown Anomaly | 192.168.1.123 → 10.0.0.42 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:12] Unknown Anomaly | 192.168.1.137 → 10.0.0.3 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:13] Unknown Anomaly | 192.168.1.211 → 10.0.0.32 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:14] Unknown Anomaly | 192.168.1.156 → 10.0.0.3 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:16] Unknown Anomaly | 192.168.1.196 → 10.0.0.29 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:17] Unknown Anomaly | 192.168.1.143 → 10.0.0.8 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:18] Unknown Anomaly | 192.168.1.59 → 10.0.0.13 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:19] Unknown Anomaly | 192.168.1.112 → 10.0.0.30 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:20] Unknown Anomaly | 192.168.1.37 → 10.0.0.14 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:20] Unknown Anomaly | 192.168.1.84 → 10.0.0.23 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:22] Unknown Anomaly | 192.168.1.231 → 10.0.0.47 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:22] Unknown Anomaly | 192.168.1.203 → 10.0.0.38 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:23] Unknown Anomaly | 192.168.1.162 → 10.0.0.19 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:24] Unknown Anomaly | 192.168.1.36 → 10.0.0.40 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:25] Unknown Anomaly | 192.168.1.6 → 10.0.0.31 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:25] Unknown Anomaly | 192.168.1.84 → 10.0.0.2 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:27] Unknown Anomaly | 192.168.1.15 → 10.0.0.7 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:28] Unknown Anomaly | 192.168.1.103 → 10.0.0.12 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:28] Unknown Anomaly | 192.168.1.129 → 10.0.0.42 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:29] Unknown Anomaly | 192.168.1.112 → 10.0.0.14 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:29] Unknown Anomaly | 192.168.1.242 → 10.0.0.15 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:30] Unknown Anomaly | 192.168.1.20 → 10.0.0.49 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:31] Unknown Anomaly | 192.168.1.13 → 10.0.0.36 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:32] Unknown Anomaly | 192.168.1.60 → 10.0.0.46 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:32] Unknown Anomaly | 192.168.1.31 → 10.0.0.1 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:33] Unknown Anomaly | 192.168.1.18 → 10.0.0.27 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:34] Unknown Anomaly | 192.168.1.100 → 10.0.0.7 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:35] Unknown Anomaly | 192.168.1.52 → 10.0.0.29 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:36] Unknown Anomaly | 192.168.1.230 → 10.0.0.11 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:36] Unknown Anomaly | 192.168.1.137 → 10.0.0.27 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:38] Unknown Anomaly | 192.168.1.5 → 10.0.0.43 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:38] Unknown Anomaly | 192.168.1.167 → 10.0.0.27 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:39] Unknown Anomaly | 192.168.1.242 → 10.0.0.36 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:40] Unknown Anomaly | 192.168.1.3 → 10.0.0.10 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:40] Unknown Anomaly | 192.168.1.173 → 10.0.0.46 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:41] Unknown Anomaly | 192.168.1.188 → 10.0.0.45 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:42] Unknown Anomaly | 192.168.1.19 → 10.0.0.9 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:43] Unknown Anomaly | 192.168.1.83 → 10.0.0.18 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:44] Unknown Anomaly | 192.168.1.124 → 10.0.0.8 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:45] Unknown Anomaly | 192.168.1.242 → 10.0.0.10 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:46] Unknown Anomaly | 192.168.1.163 → 10.0.0.26 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:46] Unknown Anomaly | 192.168.1.101 → 10.0.0.30 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:47] Unknown Anomaly | 192.168.1.167 → 10.0.0.28 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:48] Unknown Anomaly | 192.168.1.24 → 10.0.0.48 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:48] Unknown Anomaly | 192.168.1.57 → 10.0.0.28 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:49] Unknown Anomaly | 192.168.1.117 → 10.0.0.6 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:50] Unknown Anomaly | 192.168.1.97 → 10.0.0.11 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:51] Unknown Anomaly | 192.168.1.157 → 10.0.0.13 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:52] Unknown Anomaly | 192.168.1.206 → 10.0.0.50 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:53] Unknown Anomaly | 192.168.1.179 → 10.0.0.40 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:54] Unknown Anomaly | 192.168.1.58 → 10.0.0.27 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:55] Unknown Anomaly | 192.168.1.73 → 10.0.0.37 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:55] Unknown Anomaly | 192.168.1.243 → 10.0.0.18 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:56] Unknown Anomaly | 192.168.1.126 → 10.0.0.6 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:57] Unknown Anomaly | 192.168.1.162 → 10.0.0.26 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:58] Unknown Anomaly | 192.168.1.14 → 10.0.0.17 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:22:59] Unknown Anomaly | 192.168.1.51 → 10.0.0.25 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:00] Unknown Anomaly | 192.168.1.45 → 10.0.0.33 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:00] Unknown Anomaly | 192.168.1.27 → 10.0.0.34 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:01] Unknown Anomaly | 192.168.1.2 → 10.0.0.16 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:02] Unknown Anomaly | 192.168.1.79 → 10.0.0.50 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:02] Unknown Anomaly | 192.168.1.209 → 10.0.0.18 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:02] Unknown Anomaly | 192.168.1.203 → 10.0.0.34 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:04] Unknown Anomaly | 192.168.1.4 → 10.0.0.48 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:05] Unknown Anomaly | 192.168.1.194 → 10.0.0.12 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:06] Unknown Anomaly | 192.168.1.209 → 10.0.0.45 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:07] Unknown Anomaly | 192.168.1.198 → 10.0.0.27 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:08] Unknown Anomaly | 192.168.1.89 → 10.0.0.48 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:09] Unknown Anomaly | 192.168.1.65 → 10.0.0.44 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:10] Unknown Anomaly | 192.168.1.167 → 10.0.0.25 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:11] Unknown Anomaly | 192.168.1.7 → 10.0.0.38 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:11] Unknown Anomaly | 192.168.1.16 → 10.0.0.21 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:13] Unknown Anomaly | 192.168.1.137 → 10.0.0.45 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:14] Unknown Anomaly | 192.168.1.213 → 10.0.0.29 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:15] Unknown Anomaly | 192.168.1.117 → 10.0.0.6 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:16] Unknown Anomaly | 192.168.1.72 → 10.0.0.14 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:17] Unknown Anomaly | 192.168.1.161 → 10.0.0.26 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:18] Unknown Anomaly | 192.168.1.185 → 10.0.0.37 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:19] Unknown Anomaly | 192.168.1.25 → 10.0.0.36 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:21] Unknown Anomaly | 192.168.1.80 → 10.0.0.9 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:22] Unknown Anomaly | 192.168.1.126 → 10.0.0.43 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:23] Unknown Anomaly | 192.168.1.203 → 10.0.0.8 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:24] Unknown Anomaly | 192.168.1.117 → 10.0.0.9 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:25] Unknown Anomaly | 192.168.1.77 → 10.0.0.30 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:25] Unknown Anomaly | 192.168.1.182 → 10.0.0.34 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:27] Unknown Anomaly | 192.168.1.153 → 10.0.0.14 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:28] Unknown Anomaly | 192.168.1.3 → 10.0.0.31 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:28] Unknown Anomaly | 192.168.1.194 → 10.0.0.3 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:29] Unknown Anomaly | 192.168.1.36 → 10.0.0.7 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:30] Unknown Anomaly | 192.168.1.193 → 10.0.0.11 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:30] Unknown Anomaly | 192.168.1.72 → 10.0.0.46 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:31] Unknown Anomaly | 192.168.1.254 → 10.0.0.34 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:32] Unknown Anomaly | 192.168.1.184 → 10.0.0.23 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:32] Unknown Anomaly | 192.168.1.33 → 10.0.0.31 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:33] Unknown Anomaly | 192.168.1.123 → 10.0.0.10 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:34] Unknown Anomaly | 192.168.1.127 → 10.0.0.44 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:34] Unknown Anomaly | 192.168.1.18 → 10.0.0.47 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:36] Unknown Anomaly | 192.168.1.190 → 10.0.0.50 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:36] Unknown Anomaly | 192.168.1.242 → 10.0.0.49 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:23:38] Unknown Anomaly | 192.168.1.41 → 10.0.0.31 | conf=0.65 | Isolation Forest (override) | action=Logged
